nodeName	altName	nodeAttr[nodesPresent, ]
MMT00077152	Hey2	magenta
MMT00077244	mKIAA1236	magenta
MMT00077345	Maged2	magenta
MMT00077649	Lox	magenta
MMT00078015	Col1a1	magenta
MMT00078110	Ptpn13	magenta
MMT00078258	Serpina3c	magenta
MMT00078486	Crat	magenta
MMT00078698	Kcnj8	magenta
MMT00078723	Mmp2	magenta
MMT00078816	Olfml3	magenta
MMT00078851	F7	magenta
MMT00078976	Cd36	magenta
MMT00079074	D330012D11Rik	magenta
MMT00079144	Pde6h	magenta
MMT00079155	Anxa1	magenta
MMT00079156	Ms4a4d	magenta
MMT00079213	Mlp	magenta
MMT00079316	Fmnl3	magenta
MMT00079723	Fkhl18	magenta
MMT00079874	Tjp2	magenta
MMT00080695	9630050M13Rik	magenta
MMT00081019	Ltbp3	magenta
MMT00081127	Gm644	magenta
MMT00081171	Cmya4	magenta
MMT00081331	Itih1	magenta
MMT00081375	Fhl2	magenta
MMT00081436	Sdpr	magenta
MMT00081571	Nptxr	magenta
MMT00081975	B4galt2	magenta
MMT00082041	Dnajc12	magenta
MMT00082551	Lrg1	magenta
MMT00082712	Lrat	magenta
MMT00082759	Boc	magenta
